"","死亡人數(發生日期)─按年齡別分"
"","死亡人數 / 年齡別總計 ","死亡人數 / 0-4歲 ","死亡人數 / 5-9歲 ","死亡人數 / 10-14歲 ","死亡人數 / 15-19歲 ","死亡人數 / 20-24歲 ","死亡人數 / 25-29歲 ","死亡人數 / 30-34歲 ","死亡人數 / 35-39歲 ","死亡人數 / 40-44歲 ","死亡人數 / 45-49歲 ","死亡人數 / 50-54歲 ","死亡人數 / 55-59歲 ","死亡人數 / 60-64歲 ","死亡人數 / 65-69歲 ","死亡人數 / 70-74歲 ","死亡人數 / 75-79歲 ","死亡人數 / 80-84歲 ","死亡人數 / 85-89歲 ","死亡人數 / 90-94歲 ","死亡人數 / 95-99歲 ","死亡人數 / 100歲以上 ","男 / 年齡別總計 ","男 / 0-4歲 ","男 / 5-9歲 ","男 / 10-14歲 ","男 / 15-19歲 ","男 / 20-24歲 ","男 / 25-29歲 ","男 / 30-34歲 ","男 / 35-39歲 ","男 / 40-44歲 ","男 / 45-49歲 ","男 / 50-54歲 ","男 / 55-59歲 ","男 / 60-64歲 ","男 / 65-69歲 ","男 / 70-74歲 ","男 / 75-79歲 ","男 / 80-84歲 ","男 / 85-89歲 ","男 / 90-94歲 ","男 / 95-99歲 ","男 / 100歲以上 ","女 / 年齡別總計 ","女 / 0-4歲 ","女 / 5-9歲 ","女 / 10-14歲 ","女 / 15-19歲 ","女 / 20-24歲 ","女 / 25-29歲 ","女 / 30-34歲 ","女 / 35-39歲 ","女 / 40-44歲 ","女 / 45-49歲 ","女 / 50-54歲 ","女 / 55-59歲 ","女 / 60-64歲 ","女 / 65-69歲 ","女 / 70-74歲 ","女 / 75-79歲 ","女 / 80-84歲 ","女 / 85-89歲 ","女 / 90-94歲 ","女 / 95-99歲 ","女 / 100歲以上 "
"91年","    128,357","      1,953","        277","        285","        919","      1,368","      1,646","      2,160","      3,335","      4,610","      5,946","      6,615","      6,226","      9,269","     12,199","     17,654","     19,393","     16,878","     11,253","      5,002","      1,200","        169","     79,231","      1,062","        153","        167","        642","        976","      1,203","      1,590","      2,448","      3,363","      4,287","      4,608","      4,193","      5,983","      7,560","     11,320","     12,191","      9,507","      5,456","      2,049","        423","         50","     49,126","        891","        124","        118","        277","        392","        443","        570","        887","      1,247","      1,659","      2,007","      2,033","      3,286","      4,639","      6,334","      7,202","      7,371","      5,797","      2,953","        777","        119"
"92年","    131,229","      1,663","        332","        303","        833","      1,316","      1,584","      2,229","      3,276","      4,697","      6,039","      7,176","      6,293","      9,296","     12,266","     17,317","     20,235","     17,471","     11,826","      5,518","      1,329","        230","     80,619","        893","        197","        170","        566","        934","      1,150","      1,638","      2,416","      3,479","      4,345","      4,991","      4,205","      5,977","      7,499","     10,914","     12,708","      9,915","      5,802","      2,310","        433","         77","     50,610","        770","        135","        133","        267","        382","        434","        591","        860","      1,218","      1,694","      2,185","      2,088","      3,319","      4,767","      6,403","      7,527","      7,556","      6,024","      3,208","        896","        153"
"93年","    134,765","      1,663","        253","        284","        877","      1,285","      1,629","      2,197","      3,310","      4,894","      6,313","      7,556","      6,655","      9,135","     12,050","     16,983","     20,887","     18,881","     12,070","      6,193","      1,420","        230","     83,491","        933","        136","        154","        638","        907","      1,189","      1,620","      2,468","      3,563","      4,555","      5,289","      4,598","      5,936","      7,390","     10,708","     13,472","     10,715","      5,984","      2,671","        507","         58","     51,274","        730","        117","        130","        239","        378","        440","        577","        842","      1,331","      1,758","      2,267","      2,057","      3,199","      4,660","      6,275","      7,415","      8,166","      6,086","      3,522","        913","        172"
"94年","    139,779","      1,502","        258","        304","        836","      1,317","      1,918","      2,312","      3,396","      4,979","      6,496","      7,915","      7,399","      9,012","     12,153","     16,510","     21,939","     19,902","     12,973","      6,720","      1,686","        252","     87,031","        841","        146","        178","        570","        913","      1,407","      1,694","      2,550","      3,749","      4,750","      5,540","      5,069","      6,017","      7,540","     10,200","     14,010","     11,630","      6,663","      2,886","        604","         74","     52,748","        661","        112","        126","        266","        404","        511","        618","        846","      1,230","      1,746","      2,375","      2,330","      2,995","      4,613","      6,310","      7,929","      8,272","      6,310","      3,834","      1,082","        178"
"95年","    136,371","      1,360","        235","        290","        764","      1,168","      1,751","      2,243","      3,340","      5,040","      6,409","      8,146","      8,101","      8,142","     11,730","     15,580","     20,886","     19,625","     13,079","      6,460","      1,734","        288","     85,130","        779","        138","        185","        552","        819","      1,257","      1,678","      2,546","      3,777","      4,773","      5,793","      5,520","      5,328","      7,295","      9,502","     13,174","     11,616","      6,743","      2,941","        629","         85","     51,241","        581","         97","        105","        212","        349","        494","        565","        794","      1,263","      1,636","      2,353","      2,581","      2,814","      4,435","      6,078","      7,712","      8,009","      6,336","      3,519","      1,105","        203"
"96年","    140,371","      1,320","        221","        236","        654","      1,040","      1,570","      2,077","      3,093","      4,826","      6,477","      7,999","      8,748","      8,086","     12,034","     15,473","     21,286","     20,916","     14,806","      7,182","      1,998","        329","     86,556","        763","        120","        148","        462","        723","      1,094","      1,520","      2,346","      3,644","      4,732","      5,652","      6,002","      5,298","      7,509","      9,333","     13,371","     12,312","      7,567","      3,127","        718","        115","     53,815","        557","        101","         88","        192","        317","        476","        557","        747","      1,182","      1,745","      2,347","      2,746","      2,788","      4,525","      6,140","      7,915","      8,604","      7,239","      4,055","      1,280","        214"
"97年","    143,594","      1,263","        200","        224","        648","        930","      1,437","      2,078","      3,047","      4,716","      6,556","      7,991","      9,166","      8,272","     11,677","     15,646","     21,015","     22,201","     15,964","      7,740","      2,436","        387","     88,566","        703","        109","        133","        458","        648","        992","      1,504","      2,272","      3,545","      4,797","      5,740","      6,409","      5,484","      7,358","      9,403","     12,985","     13,230","      8,367","      3,402","        896","        131","     55,028","        560","         91","         91","        190","        282","        445","        574","        775","      1,171","      1,759","      2,251","      2,757","      2,788","      4,319","      6,243","      8,030","      8,971","      7,597","      4,338","      1,540","        256"
"98年","    143,513","      1,078","        250","        256","        628","        865","      1,452","      2,024","      2,922","      4,519","      6,299","      8,076","      9,603","      8,512","     11,389","     15,193","     20,149","     22,743","     16,830","      7,851","      2,484","        390","     88,024","        585","        147","        160","        423","        589","        987","      1,466","      2,227","      3,335","      4,625","      5,777","      6,613","      5,616","      7,133","      9,136","     12,171","     13,615","      8,810","      3,521","        954","        134","     55,489","        493","        103","         96","        205","        276","        465","        558","        695","      1,184","      1,674","      2,299","      2,990","      2,896","      4,256","      6,057","      7,978","      9,128","      8,020","      4,330","      1,530","        256"
"99年","    145,804","        958","        170","        226","        610","        759","      1,309","      1,946","      2,631","      4,328","      6,306","      8,011","      9,954","      8,959","     10,811","     14,848","     19,859","     23,935","     18,207","      8,725","      2,788","        464","     89,154","        544","        104","        135","        436","        548","        915","      1,381","      1,956","      3,205","      4,595","      5,718","      6,896","      5,978","      6,976","      8,812","     11,773","     14,269","      9,706","      3,974","      1,087","        146","     56,650","        414","         66","         91","        174","        211","        394","        565","        675","      1,123","      1,711","      2,293","      3,058","      2,981","      3,835","      6,036","      8,086","      9,666","      8,501","      4,751","      1,701","        318"
"100年","    153,206","      1,106","        147","        216","        600","        841","      1,168","      2,000","      2,839","      4,382","      6,400","      8,318","     10,152","     10,256","     10,582","     15,404","     20,271","     24,889","     19,927","     10,105","      3,052","        551","     93,987","        604","         86","        133","        415","        607","        837","      1,427","      2,116","      3,338","      4,778","      5,894","      7,128","      6,906","      6,825","      9,270","     11,903","     14,803","     10,766","      4,719","      1,227","        205","     59,219","        502","         61","         83","        185","        234","        331","        573","        723","      1,044","      1,622","      2,424","      3,024","      3,350","      3,757","      6,134","      8,368","     10,086","      9,161","      5,386","      1,825","        346"
"101年","    155,239","      1,115","        159","        203","        580","        781","      1,114","      1,959","      2,792","      4,229","      6,361","      8,106","     10,021","     11,117","     10,514","     15,359","     19,744","     25,085","     20,923","     11,087","      3,383","        607","     94,245","        630","         82","        124","        406","        528","        738","      1,370","      2,044","      3,175","      4,650","      5,810","      7,001","      7,364","      6,693","      9,231","     11,300","     14,826","     11,455","      5,167","      1,401","        250","     60,994","        485","         77","         79","        174","        253","        376","        589","        748","      1,054","      1,711","      2,296","      3,020","      3,753","      3,821","      6,128","      8,444","     10,259","      9,468","      5,920","      1,982","        357"
"102年","    155,686","        955","        153","        211","        544","        720","        912","      1,734","      2,618","      3,886","      6,067","      8,414","     10,174","     11,853","     10,432","     15,322","     19,169","     24,691","     22,062","     11,551","      3,547","        671","     94,332","        534","         77","        119","        386","        507","        639","      1,209","      1,925","      2,872","      4,451","      6,013","      7,095","      7,969","      6,673","      9,184","     10,883","     14,308","     12,318","      5,462","      1,447","        261","     61,354","        421","         76","         92","        158","        213","        273","        525","        693","      1,014","      1,616","      2,401","      3,079","      3,884","      3,759","      6,138","      8,286","     10,383","      9,744","      6,089","      2,100","        410"

